time,latitude,longitude,altitude_ft,groundspeed_kt,heading_deg
0.0,37.6188,-122.375,13.0,0.7726204308071224,126.10760628930795
0.2,37.6187995787026,-122.3749992708123,13.0,0.7726204308071224,126.10760628930795
0.4,37.61879904549807,-122.3749983479341,13.0,0.9778477488430798,126.1076065331564
0.6,37.618798387220885,-122.3749972085783,13.0,1.2072194345565967,126.10760609449166
0.8,37.61879759070548,-122.3749958299578,13.0,1.4607355322716422,126.10760574170425
1.0,37.618796642786336,-122.37499418928546,13.0,1.7383960102984561,126.10760533611004
1.2,37.61879553029788,-122.37499226377417,13.0,2.0402008984158884,126.10760490645173
1.4,37.61879424007459,-122.37499003063682,13.0,2.3661501761818955,126.10760436741455
1.6,37.61879275895091,-122.37498746708629,13.0,2.7162438687700488,126.10760373181942
1.8,37.61879108034408,-122.37498456172902,13.0,3.0784097442227454,126.10760296825545
2.0,37.618789204254085,-122.37498131456502,13.0,3.4405756590908125,126.10760241391232
2.2,37.61878713068094,-122.37497772559428,13.0,3.802741578278009,126.10760138501533
2.4,37.61878485962463,-122.3749737948168,13.0,4.164907530819735,126.10760067411833
2.6,37.618782391085176,-122.37496952223258,13.0,4.527073491447939,126.10759955486569
2.8,37.61877972506255,-122.37496490784162,13.0,4.889239489198042,126.10759862259818
3.0,37.61877686155678,-122.37495995164392,13.0,5.251405498801981,126.10759730855274
3.2,37.61877380056785,-122.37495465363949,13.0,5.613571534941664,126.10759622762238
3.4,37.61877054209576,-122.37494901382833,13.0,5.975737610106647,126.10759502701853
3.6,37.618767086140515,-122.37494303221041,13.0,6.337903721655292,126.10759361441558
3.8,37.61876343270211,-122.37493670878577,13.0,6.700069851037224,126.10759224385204
4.0,37.61875958178055,-122.37493004355439,13.0,7.06223602057017,126.10759074576094
4.2,37.61875553337583,-122.37492303651626,13.0,7.424402231360193,126.10758920495631
4.4,37.61875128748796,-122.37491568767142,13.0,7.786568466412161,126.1075876087357
4.6,37.61874684411693,-122.37490799701982,13.0,8.148734766145036,126.10758588171343
4.8,37.61874220326274,-122.3748999645615,13.0,8.510901084078904,126.10758405612542
5.0,37.618737364925394,-122.37489159029641,13.0,8.873067470461027,126.10758225485024
5.2,37.618732329104894,-122.37488287422461,13.0,9.235233878811565,126.10758035151532
5.4,37.61872709580123,-122.37487381634607,13.0,9.597400349549442,126.10757837028835
5.6,37.61872166501442,-122.37486441666078,13.0,9.959566865679577,126.10757627312415
5.8,37.618716036744445,-122.37485467516878,13.0,10.321733428307844,126.10757419688612
6.0,37.61871021099132,-122.37484459187002,13.0,10.683900059752178,126.10757195717082
6.2,37.61870418775503,-122.37483416676451,13.0,11.04606674146207,126.10756970329456
6.4,37.61869796703559,-122.37482339985229,13.0,11.408233466270621,126.10756734602221
6.6,37.618691548832984,-122.37481229113332,13.0,11.770400264768583,126.10756494007956
6.8,37.61868493314723,-122.37480084060762,13.0,12.132567119960667,126.10756237293143
7.0,37.61867811997831,-122.37478904827518,13.0,12.494734042781259,126.10755986878036
7.2,37.61867110932624,-122.37477691413599,13.0,12.85690102606341,126.10755720579276
7.4,37.61866390119101,-122.37476443819007,13.0,13.219068080741344,126.10755446328841
7.6,37.61865649557263,-122.37475162043741,13.0,13.581235199648216,126.10755170041055
7.8,37.61864889247109,-122.37473846087802,13.0,13.94340237936455,126.10754885126815
8.0,37.61864109188639,-122.37472495951188,13.0,14.305569660309466,126.10754591975294
8.2,37.61863309381854,-122.37471111633901,13.0,14.667736982427268,126.10754287759111
8.4,37.61862489826752,-122.37469693135941,13.0,15.029904404237744,126.10753988904608
8.6,37.618616505233355,-122.37468240457306,13.0,15.392071890645099,126.1075366721211
8.8,37.61860791471603,-122.37466753597998,13.0,15.754239466158847,126.10753346986304
9.0,37.618599126715544,-122.37465232558017,13.0,16.116407113784373,126.10753021303003
9.2,37.618590141231905,-122.37463677337361,13.0,16.478574860364397,126.10752679669781
9.4,37.618580958265106,-122.37462087936032,13.0,16.840742677520097,126.10752339017907
9.6,37.61857157781515,-122.37460464354028,13.0,17.202910597398034,126.10751986502426
9.8,37.61856199988204,-122.37458806591351,13.0,17.56507859161878,126.10751629045146
10.0,37.61855222446577,-122.37457114648001,13.0,17.927246682500808,126.10751262295562
10.2,37.618542251566346,-122.37455388523976,13.0,18.289414871149592,126.1075089384095
10.4,37.618532081183766,-122.37453628219278,13.0,18.651583150398217,126.10750509709251
10.6,37.618521713318025,-122.37451833733907,13.0,19.013751521353104,126.10750125931875
10.8,37.61851114796913,-122.3745000506786,13.0,19.375920006331462,126.10749725868746
11.0,37.61850038513708,-122.37448142221142,13.0,19.738088572429827,126.10749327208791
11.2,37.61848942482187,-122.37446245193748,13.0,20.100257269894925,126.1074891814419
11.4,37.618478267023505,-122.37444313985681,13.0,20.462426038670948,126.1074850142886
11.6,37.618466911741976,-122.3744234859694,13.0,20.8245949372785,126.10748080335506
11.8,37.6184553589773,-122.37440349027526,13.0,21.186763930620604,126.10747644639736
12.0,37.618443608729464,-122.37438315277439,13.0,21.548933033379676,126.1074721212462
12.2,37.61843166099847,-122.37436247346676,13.0,21.911102267873098,126.10746765030542
12.4,37.61841951578432,-122.37434145235241,13.0,22.273271592146077,126.10746313234844
12.6,37.61840717308701,-122.37432008943131,13.0,22.63544105644651,126.1074585357461
12.8,37.61839463290654,-122.37429838470348,13.0,22.997610614293528,126.107453856127
13.0,37.61838189524292,-122.37427633816891,13.0,23.35978030610696,126.10744912978066
13.2,37.61836896009614,-122.3742539498276,13.0,23.721950114890987,126.1074442990622
13.4,37.6183558274662,-122.37423121967956,13.0,24.084120051579742,126.10743941826425
13.6,37.61834249735311,-122.37420814772477,13.0,24.446290109006945,126.1074344538491
13.8,37.61832896975687,-122.37418473396326,13.0,24.808460283752307,126.10742942286251
14.0,37.618315244677454,-122.374160978395,13.0,25.170630616235744,126.10742433298785
14.2,37.618301322114895,-122.37413688102001,13.0,25.53280104640067,126.10741914205671
14.4,37.618287202069176,-122.37411244183828,13.0,25.894971628241898,126.10741390199652
14.6,37.618272884540296,-122.37408766084981,13.0,26.25714234476489,126.10740858506675
14.8,37.61825836952826,-122.3740625380546,13.0,26.619313193327052,126.10740319144784
15.0,37.61824365703307,-122.37403707345266,13.0,26.981484184863454,126.10739771541347
15.2,37.61822874705472,-122.37401126704397,13.0,27.34365531220643,126.10739216317864
15.4,37.618213639593215,-122.37398511882856,13.0,27.70582657646179,126.10738658991654
15.6,37.618198334648554,-122.37395862880639,13.0,28.067997999948275,126.10738087037073
15.8,37.61818283222074,-122.3739317969775,13.0,28.430169549760464,126.10737513231292
16.0,37.61816713230976,-122.37390462334187,13.0,28.79234126631843,126.10736930880535
16.2,37.61815123491563,-122.3738771078995,13.0,29.154513119050378,126.10736339804838
16.4,37.61813514003834,-122.3738492506504,13.0,29.516685132466417,126.10735741675876
16.6,37.61811884767789,-122.37382105159455,13.0,29.878857299399073,126.10735137551754
16.8,37.61810235783429,-122.37379251073197,13.0,30.24102960737993,126.10734526641207
17.0,37.618085670507526,-122.37376362806265,13.0,30.603202096826493,126.1073390854094
17.2,37.61806878569761,-122.3737344035866,13.0,30.965374721258964,126.1073328238878
17.4,37.61805170340453,-122.3737048373038,13.0,31.327547521096456,126.10732648850455
17.6,37.6180344236283,-122.37367492921427,13.0,31.68972047934312,126.1073200772067
17.8,37.61801694636892,-122.373644679318,13.0,32.05189360240944,126.10731357025489
18.0,37.617999271626374,-122.373614087615,13.0,32.41406689670254,126.10730703224121
18.2,37.61798139940067,-122.37358315410525,13.0,32.776240359581294,126.10730041324845
18.4,37.61796332969181,-122.37355187878876,13.0,33.138413988403975,126.10729370395345
18.6,37.61794506249979,-122.37352026166555,13.0,33.50058778427567,126.1072869551929
18.8,37.61792659782462,-122.3734883027356,13.0,33.86276175968797,126.1072801040589
19.0,37.61790793566629,-122.37345600199889,13.0,34.224935925573085,126.10727317939593
19.2,37.6178890760248,-122.37342335945546,13.0,34.58711024527957,126.10726619386341
19.4,37.61787001890016,-122.37339037510529,13.0,34.94928475470131,126.10725913915975
19.6,37.617850764292356,-122.37335704894839,13.0,35.311459445114934,126.10725201591849
19.8,37.6178313122014,-122.37332338098474,13.0,35.673634325264786,126.10724479839914
20.0,37.61781166262729,-122.37328937121436,13.0,36.0358093901736,126.10723751262408
20.2,37.617791815570016,-122.37325501963724,13.0,36.397984632674955,126.10723018469736
20.4,37.61777177102959,-122.37322032625339,13.0,36.76016006978397,126.10722274809198
20.6,37.617751529006,-122.3731852910628,13.0,37.12233570260558,126.10721526636766
20.8,37.61773108949926,-122.37314991406546,13.0,37.48451152397479,126.10720769203976
21.0,37.617710452509364,-122.3731141952614,13.0,37.846687540298355,126.10720004670793
21.2,37.61768961803631,-122.37307813465058,13.0,38.20886375798568,126.10719232616704
21.4,37.61766858608009,-122.37304173223303,13.0,38.57104017439502,126.10718455524635
21.6,37.617647356640724,-122.37300498800876,13.0,38.93321677705554,126.10717670301185
21.8,37.617625929718194,-122.37296790197773,13.0,39.295393606388544,126.10716877074385
22.0,37.61760430531251,-122.37293047413998,13.0,39.65757061591124,126.10716076397009
22.2,37.61758248342367,-122.37289270449548,13.0,40.01974784604361,126.10715269966644
22.4,37.61756046405167,-122.37285459304425,13.0,40.381925279790174,126.10714454426079
22.6,37.61753824719652,-122.37281613978628,13.0,40.74410292355898,126.1071363216821
22.8,37.61751583285821,-122.37277734472158,13.0,41.10628077393242,126.10712803404192
